message_id,channel_name,detected_class,confidence_score,image_category
10,CheMed123,,0.0,other
11,CheMed123,clock,0.427,other
13,CheMed123,"hot dog,donut,hot dog,donut,hot dog,hot dog",0.337,other
14,CheMed123,,0.0,other
15,CheMed123,,0.0,other
17,CheMed123,"bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle",0.377,product_display
18,CheMed123,,0.0,other
19,CheMed123,"person,person,dining table,dining table",0.638,lifestyle
2,CheMed123,bottle,0.387,product_display
20,CheMed123,"person,person,dining table,dining table",0.638,lifestyle
21,CheMed123,bird,0.253,other
22,CheMed123,stop sign,0.278,other
23,CheMed123,cell phone,0.611,other
25,CheMed123,"cell phone,person",0.745,lifestyle
26,CheMed123,"person,cup,book,book",0.471,promotional
27,CheMed123,,0.0,other
29,CheMed123,"person,surfboard,person,person",0.505,lifestyle
3,CheMed123,,0.0,other
30,CheMed123,person,0.414,lifestyle
31,CheMed123,"bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle,bottle",0.377,product_display
32,CheMed123,person,0.588,lifestyle
33,CheMed123,"orange,orange,book",0.506,other
34,CheMed123,,0.0,other
38,CheMed123,,0.0,other
39,CheMed123,"mouse,mouse,mouse,mouse,mouse,mouse,mouse,mouse",0.677,other
4,CheMed123,,0.0,other
40,CheMed123,"person,person,person,person,person,person,person,person,person,person",0.528,lifestyle
41,CheMed123,person,0.421,lifestyle
43,CheMed123,"person,chair",0.575,lifestyle
44,CheMed123,"cell phone,person",0.893,lifestyle
45,CheMed123,scissors,0.632,other
46,CheMed123,"person,person,tv",0.564,lifestyle
48,CheMed123,,0.0,other
49,CheMed123,"kite,kite,kite,frisbee",0.438,other
50,CheMed123,cake,0.292,other
52,CheMed123,"person,person,horse,person,person,person",0.542,lifestyle
53,CheMed123,person,0.574,lifestyle
55,CheMed123,stop sign,0.307,other
56,CheMed123,person,0.833,lifestyle
57,CheMed123,"person,potted plant,potted plant,potted plant,potted plant,potted plant",0.642,lifestyle
58,CheMed123,bottle,0.412,product_display
59,CheMed123,bottle,0.287,product_display
60,CheMed123,,0.0,other
64,CheMed123,"person,person,banana,remote",0.416,lifestyle
67,CheMed123,"stop sign,book",0.432,other
70,CheMed123,"potted plant,person,book",0.731,lifestyle
71,CheMed123,"person,person",0.844,lifestyle
74,CheMed123,,0.0,other
75,CheMed123,person,0.835,lifestyle
76,CheMed123,"person,chair,chair",0.465,lifestyle
77,CheMed123,"bottle,bottle,bottle,bottle",0.913,product_display
78,CheMed123,"person,person",0.563,lifestyle
79,CheMed123,,0.0,other
80,CheMed123,"person,bottle,chair",0.745,promotional
81,CheMed123,"bottle,bottle,bottle,bottle,bottle",0.82,product_display
